"ID","StuNun","Data"
"1691","bs21","大小都有的圓圈"
"1692","bs21","3個分為大中小的圓圈"
"1693","bs21","同心圓"
"1706","bs20","3個圓圈"
"1722","bs34","圓圈"
"1724","bs04","同心圓"
"1726","bs04","三個圓"
"1738","bs35","圓"
"1751","bs03","同心圓"
"1756","bs30","圓形"
"1786","bs36","同心圓"
"1787","bs36","好多圓"
"1793","bs14","圓型"
"1794","is01","好幾個圓"
"1798","is18","三個圈"
"1832","is06","3個圓"
"1848","is15","圈圈"
"1849","is15","一堆圈圈"
"1851","is10","很多圈圈"
"1852","is15","好多圈圈"
"1853","is10","還是圈圈"
"1854","is15","阿~有三個圈圈"
"1855","is09","多重"
"1856","is10","滿滿的圈圈"
"1857","is09","空虛"
"1858","is15","有大有小的圈圈"
"1863","is15","這是360度的圓嗎"
"1868","is09","墜落"
"1871","is15","這是在測驗甚麼"
"1874","is15","請輸入文字"
"1875","is09","遺忘"
"1876","is15","我想交卷了"
"1877","is15","好無聊"
"1878","is09","感應"
"1879","is09","保護"
"1881","is09","安全"
"1882","is09","團聚"
"1883","is09","溫暖"
"1885","is16","大圓"
"1886","is16","小圓"
"1887","is16","圓"
"1888","is16","很圓"
"1889","is16","非常圓"
"1890","is16","超級圓"
"1891","is16","世界圓"
"1892","is16","超級無敵世界圓"
"1893","is16","操他媽的圓"
"1894","is19","圓形"
"1898","bs02","同心圓"
"1899","bs02","圓形"
"1900","is19","三個圈圈"
"1904","is14","三個圈圈"
"1905","is14","同心圓"
"1916","is20","同心圓"
"1920","is11","同心圓"
"1921","is11","圓"
"1922","is11","圓周率一樣"
"1923","is11","半徑都不一樣"
"1924","is11","直徑都不一樣"
"1925","is11","線一樣粗"
"1926","is11","空白處都是白色"
"1927","is11","都在一個白色方框裡面"
"1930","is26","圓形"
"1931","is31","圓圈"
"1932","is31","大園"
"1933","is26","兩個行"
"1934","is31","小圓"
"1935","is31","中圓"
"1937","is26","三個圓形"
"1938","is26","生活淵"
"1940","is24","圈圈"
"1941","is24","冠賢"
"1942","is24","沒用的"
"1943","is26","進擊的巨人"
"1948","is24","好吃"
"1949","is26","富貴階級"
"1950","is33","圈圈"
"1951","is24","林佑則"
"1955","is24","嘉宏"
"1972","is24","沒用的"
"1986","is28","453254324532"
"2000","is29","圈圈圓圓圈圈"
"2001","is29","甜甜黏黏的我"
"2002","is29","深深看你的臉"
"2004","is29","埋怨的溫柔的臉"
"2005","is29","深情的溫柔"
"2011","is29","圈圈圓圓圈圈"
"2014","is29","甜甜黏黏的我"
"2016","is29","深深看你的臉"
"2021","is29","深情的溫柔"
"2022","is29","埋怨的溫柔的臉"
"2025","is29","不懂愛恨情仇煎熬的我們"
"2026","is36","三個圈圈"
"2028","is29","圈圈圓圓圈圈"
"2029","is29","天天年年天天的我"
"2030","is29","深深看你的臉"
"2031","is32","圈"
"2032","is29","生氣的溫柔"
"2033","is29","埋怨的溫柔的臉"
"2034","is29","不懂愛恨情仇煎熬的我們"
"2035","is29","都以為相愛就像風雲的善變"
"2036","is29","相信愛一天"
"2037","is29","抵過永遠"
"2038","is29","在這一剎那凍結了時間"
"2039","is29","不懂怎麼表現溫柔的我們"
"2040","is29","還以為殉情只是古老的傳言"
"2041","is29","離愁能有多痛"
"2042","is29","痛有多濃"
"2043","is29","當夢被埋在江南煙雨中"
"2044","is29","心碎了才懂"
"2047","is25","三個圓"
"2048","is35","RUL29"
"2049","is25","五個圓"
"2050","is42","宇智波代土"
"2070","hs25","圓圈"
"2107","as01","同心圓"
"2178","as12","同心圓"
"2180","as12","同心圓"
"2181","as10","同心圓"
"2313","as10","同心圓"
"2326","as14","同心圓"
"2327","as34","圓形"
"2328","as14","圓形"
"2330","as34","同心圓"
"2337","as02","同心圓"
"2341","as20","同心圓"
"2353","as23","三個圓"
"2356","as28","同心圓"
"2357","as23","三個圓"
"2358","as13","通心園"
"2359","as13","同心圓"
"2362","as12","同心圓"
"2364","as09","同心圓"
"2367","as09","圓形"
"2369","as18","圓圈"
"2372","as05","同心圓"
"2378","as05","圓"
"2387","as05","好多圓"
"2388","as19","圓圈"
"2391","as15","同心圓"
"2392","as07","圓"
"2394","as15","圈圈"
"2396","as07","四個圓"
"2400","as15","小圓"
"2401","as15","大圓"
"2402","as07","圓"
"2403","as07","大"
"2404","as07","中"
"2405","as07","小"
"2406","as07","同心"
"2409","as07","三個圓"
"2420","as36","永無止"
"2423","as36","永無止盡"
"2437","as31","圓裡面包著一個圓"
"2438","as34","同心圓"
"2442","as31","大圓裡面有兩個圓"
"2475","as21","阿不就三個圓型"
"2476","as21","還是一樣"
"2478","as32","圓圈"
"2484","as11","同心圓"
"2487","as27","同心圓"
"2496","as17","同心圓"
"2504","as32","圓圈"
"2506","as08","三個圓"
"2510","as32","同心圓"
"2517","as22","三個同心圓"
"2534","as25","同心圓"
"2580","bs23","不知道"
"2583","bs29","buy1dbuyvduydgvydvb"
"2694","cs40","同心圓"
"2713","cs34","同心圓"
"2714","cs34","軸心圓"
"2715","cs34","三個圓"
"2725","js38","圓"
"2727","js38","2個圓"
"2728","js38","3個圓"
"2729","js08","三個圓形"
"2752","js07","三個圓"
"2762","js40","同心圓"
"2764","js29","圓"
"2768","js29","好多個圓"
"2771","js29","正圓"
"2786","js04","圈圈"
"2788","js42","圓形"
"2800","js32","圈圈"
"2813","js42","很多個圓"
"2816","js13","三個圓形"
"2823","js27","圓"
"2824","js27","三個圓"
"2827","js39","圈"
"2830","js39","無限圈"
"2831","js18","一堆圈"
"2833","js27","同心圓"
"2834","js18","圈中有圈"
"2842","js11","4個圈圈"
"2858","js23","圓中圓"
"2874","js20","圓"
"2875","js12","圓"
"2877","js12","大圓"
"2879","js12","大圓包小圓"
"2890","js02","很多個圓"
"2892","js15","圓圈"
"2896","js26","圓形"
"2913","js31","圓"
"2932","js09","圓"
"2940","js30","圓圈"
"2946","js30","三個園"
"2957","js41","圓圈"
"2962","js30","circle"
"3007","js34","圓圈"
"3011","js28","圓圈"
"3013","js28","同心圓"
"3027","hs23","圓"
"3042","hs23","圓"
"3069","ks06","圓形"
"3075","ks06","圓形"
"3097","ds08","圓圈"
"3104","cs13","同心圓"
"3126","ds02","圓形"
"3160","ds30","三個圈圈"
"3163","ds08","同心圓"
"3181","ds35","三個圈"
"3182","ds35","圓形"
"3225","cs25","同心圓"
"3234","cs25","同心圓"
"3242","cs25","同心圓"
"3265","cs42","圓形"
"3266","cs42","圖型"
"3270","cs42","圈圈"
"3288","cs12","圓形"
"3289","cs12","同心圓"
"3290","cs14","3個圓"
"3384","cs08","圈"
"3476","ds33","同心圓"
"3487","cs27","同心圓"
"3499","cs10","同心圓"
"3550","cs45","圈圈"
"3553","cs46","圓圈圈"
"3558","cs45","圓圈"
"3563","cs23","好多個圓"
"3564","cs23","圓中圓中圓"
"3572","ds01","同心圓"
